rank	score	disease_name	disease_identifier
1	0.01630229689180851	OMIM:608328	OMIM:608328
2	0.017354166135191917	OMIM:617402	OMIM:617402
3	0.017535382881760597	OMIM:212720	OMIM:212720
4	0.01753879338502884	OMIM:245600	OMIM:245600
5	0.017604662105441093	OMIM:143095	OMIM:143095
6	0.01778475195169449	OMIM:615582	OMIM:615582
7	0.017911173403263092	OMIM:277600	OMIM:277600
8	0.018152358010411263	OMIM:618870	OMIM:618870
9	0.01832435466349125	ORPHA:261279	ORPHA:261279
10	0.018342645838856697	OMIM:309350	OMIM:309350
11	0.01842031441628933	OMIM:614185	OMIM:614185
12	0.018435735255479813	OMIM:611962	OMIM:611962
13	0.018628733232617378	ORPHA:93357	ORPHA:93357
14	0.018644697964191437	OMIM:617877	OMIM:617877
15	0.01867809146642685	OMIM:611209	OMIM:611209
16	0.01868356391787529	OMIM:616145	OMIM:616145
17	0.018714135512709618	OMIM:616894	OMIM:616894
18	0.01879434660077095	OMIM:166250	OMIM:166250
19	0.018815157935023308	OMIM:612350	OMIM:612350
20	0.018950805068016052	OMIM:139210	OMIM:139210
21	0.018978485837578773	ORPHA:3379	ORPHA:3379
22	0.019004080444574356	OMIM:304120	OMIM:304120
23	0.019192900508642197	OMIM:114290	OMIM:114290
24	0.019342927262187004	OMIM:231050	OMIM:231050
25	0.01934763230383396	ORPHA:536471	ORPHA:536471
26	0.01935455948114395	OMIM:244450	OMIM:244450
27	0.019404210150241852	OMIM:261540	OMIM:261540
28	0.01944628171622753	OMIM:251450	OMIM:251450
29	0.01951058767735958	OMIM:615777	OMIM:615777
30	0.019511273130774498	OMIM:602471	OMIM:602471
31	0.019512729719281197	OMIM:601808	OMIM:601808
32	0.01955789141356945	OMIM:614114	OMIM:614114
33	0.019592707976698875	ORPHA:439822	ORPHA:439822
34	0.01963101513683796	OMIM:617602	OMIM:617602
35	0.019772980362176895	ORPHA:1600	ORPHA:1600
36	0.019788039848208427	ORPHA:1507	ORPHA:1507
37	0.01980065181851387	ORPHA:96201	ORPHA:96201
38	0.019831158220767975	OMIM:615546	OMIM:615546
39	0.019838891923427582	OMIM:180700	OMIM:180700
40	0.01984087936580181	OMIM:612474	OMIM:612474
41	0.019894253462553024	OMIM:211750	OMIM:211750
42	0.01994340308010578	OMIM:213980	OMIM:213980
43	0.01996597647666931	OMIM:609625	OMIM:609625
44	0.020036345347762108	OMIM:210730	OMIM:210730
45	0.02004598267376423	ORPHA:2462	ORPHA:2462
46	0.020072385668754578	OMIM:617137	OMIM:617137
47	0.02008294314146042	ORPHA:457395	ORPHA:457395
48	0.020253363996744156	OMIM:300990	OMIM:300990
49	0.020273074507713318	ORPHA:401935	ORPHA:401935
50	0.0203204657882452	ORPHA:221120	ORPHA:221120
51	0.020349914208054543	ORPHA:3107	ORPHA:3107
52	0.02035348303616047	OMIM:619127	OMIM:619127
53	0.020367467775940895	OMIM:300712	OMIM:300712
54	0.02037041075527668	OMIM:620083	OMIM:620083
55	0.020399676635861397	OMIM:268310	OMIM:268310
56	0.02042233943939209	OMIM:271510	OMIM:271510
57	0.020433882251381874	OMIM:305400	OMIM:305400
58	0.02044202759861946	OMIM:158170	OMIM:158170
59	0.02045365609228611	ORPHA:261290	ORPHA:261290
60	0.020480090752243996	OMIM:182212	OMIM:182212
61	0.020485805347561836	OMIM:619325	OMIM:619325
62	0.020487848669290543	ORPHA:2215	ORPHA:2215
